City,Population,LiteracyRate,Graduates,Location
Khanna ,128130,84.43,16767,"30.697852,76.2112286"
Kharagpur ,206923,86.64,24881,"22.34601,87.2319753"
Khardaha ,111130,95.5,21522,"22.7002943,88.3753455"
Khargone ,106452,82.96,12584,"21.90287,75.8069082"
Khora ,189410,86.0,10482,"28.753915,77.3999054"
Khurja ,111089,67.63,10529,"28.2513538,77.8538797"
Kirari Suleman Nagar ,282598,79.22,10621,"28.6967948,77.0643614"
Kishanganj ,107076,74.71,7847,"26.0917422,87.9383822"
Kishangarh ,155019,80.15,13054,"26.5870344,74.856397"
Kochi ,601574,97.49,115773,"9.9312328,76.2673041"
Kolar ,138553,84.02,11508,"13.1357446,78.1325611"
Kolhapur ,549283,92.12,92443,"16.7049873,74.2432527"
Kolkata ,4486679,87.14,818476,"22.572646,88.363895"
Kollam ,349033,92.1,39521,"8.8932118,76.6141396"
Korba ,363210,84.28,38726,"22.3594501,82.7500595"
Kota ,1001365,83.65,128652,"25.2138156,75.8647527"
Kozhikode ,432097,96.8,61225,"11.2587531,75.78041"
Krishnanagar ,152203,90.92,21326,"23.4008744,88.5013962"
Kulti ,313977,76.58,19371,"23.7370306,86.8370937"
Kumbakonam ,140113,91.7,16862,"10.9616945,79.3881132"
Kurichi ,125800,90.42,13160,"11.5707716,77.6966143"
Kurnool ,424920,78.15,60589,"15.8281257,78.0372792"
Lakhimpur ,152010,84.39,25967,"27.9490794,80.7824012"
Lalitpur ,133041,83.96,17013,"24.6878597,78.4120206"
Latur ,382754,86.43,42355,"18.4087934,76.5603828"
Loni ,512296,75.24,15572,"28.7316438,77.3008506"
Lucknow ,2815601,84.72,596990,"26.8466937,80.946166"
Ludhiana ,1613878,85.38,211267,"30.900965,75.8572758"
Machilipatnam ,170008,83.32,19872,"16.1905457,81.1361543"
Madanapalle ,135669,81.4,16385,"13.5603491,78.5036065"
Madavaram ,118525,90.27,18525,"13.147819,80.2309861"
Madhyamgram ,198964,90.16,27584,"22.6925015,88.465448"
Madurai ,1016885,91.42,129719,"9.9252007,78.1197754"
Mahbubnagar ,157902,84.77,30286,"16.7375089,78.0081221"
Mahesana ,184133,90.99,27191,"23.5879607,72.3693252"
Maheshtala ,449423,82.63,33247,"22.511976,88.2509941"
Mainpuri ,117327,85.95,18745,"27.2177405,79.1096901"
Malegaon ,471006,86.66,22830,"20.5547497,74.5100291"
Malerkotla ,135330,70.25,9767,"30.5232076,75.8882508"
Mandoli ,120345,80.72,7274,"28.7041396,77.313921"
Mandsaur ,141468,86.79,18225,"24.076836,75.0692952"
Mandya ,137735,85.11,16203,"12.5221567,76.9009191"
Mangalore ,484785,94.03,78097,"12.9141417,74.8559568"
Mango ,224002,86.62,28682,"22.834024,86.219577"
Mathura ,349336,76.75,44357,"27.4924134,77.673673"
Maunath Bhanjan ,279060,78.6,20775,"25.9496379,83.5586445"
Medinipur ,169127,90.01,28498,"22.4308892,87.3214908"
Meerut ,1309023,77.7,174025,"28.9844618,77.7064137"
Mira Bhayander ,814655,93.67,118506,"19.2952325,72.8543897"
Miryalaguda ,103855,82.09,13377,"16.8753106,79.5659633"
Mirzapur-cum-Vindhyachal ,233691,78.25,25846,"25.1336987,82.5644344"
Modinagar ,130161,90.0,24695,"28.8316307,77.5779592"
Moga ,150432,82.09,17762,"30.8164603,75.1717093"
Moradabad ,889810,70.65,91999,"28.8386481,78.7733286"
Morena ,200506,80.38,21351,"26.4933562,77.9909949"
Morvi ,188278,84.59,15195,"22.8119895,70.8236195"
Motihari ,125183,87.2,19550,"26.6469624,84.9088938"
Mughalsarai ,110110,82.83,11758,"25.2814947,83.1198203"
Muktsar ,117085,77.31,11785,"30.4766391,74.511172"
Munger ,213101,81.83,19988,"25.3747561,86.4735251"
Murwara ,221875,87.42,27011,"23.7473807,80.365865"
Mustafabad ,127012,76.1,4462,"28.7113968,77.2681086"
Muzaffarnagar ,392451,80.99,58965,"29.4726817,77.7085091"
Muzaffarpur ,351838,85.16,61914,"26.1208876,85.3647201"
Mysore ,887446,86.84,149306,"12.2958104,76.6393805"
Nabadwip ,125528,87.75,10083,"23.4036446,88.3676393"
Nadiad ,218150,88.28,27432,"22.6915853,72.8633635"
Nagaon ,116355,93.43,15273,"26.3463713,92.6840426"
Nagapattinam ,102838,89.49,8469,"10.7656082,79.8423888"
Nagaur ,100618,73.05,7812,"27.1991222,73.740924"
Nagda ,100036,81.61,9844,"23.4454599,75.4169918"
Nagercoil ,224329,95.35,34342,"8.1832857,77.4118996"
Nagpur ,2405421,93.13,382282,"21.1458004,79.0881546"
Naihati ,221762,89.79,23181,"22.8928724,88.4220324"
Nalgonda ,135163,87.08,26575,"17.0575707,79.2620294"
Nanded Waghala ,550564,87.4,57736,"19.1428869,77.303723"
Nandurbar ,111067,86.99,11451,"21.7468548,74.123996"
Nandyal ,200746,76.89,22411,"15.4785694,78.4830934"
Nangloi Jat ,205497,83.4,12692,"28.6841206,77.0632942"
Narasaraopet ,116329,79.45,13872,"16.2353506,80.0479039"
Nashik ,1486973,90.96,204014,"19.9974533,73.7898023"
Navi Mumbai ,1119477,91.57,192624,"19.0330488,73.0296625"
Navi Mumbai Panvel Raigarh ,194999,90.72,22631,"18.9894007,73.1175162"
Navsari ,160100,89.25,17425,"20.9467019,72.9520348"
Neemuch ,128108,85.86,16428,"24.4763852,74.8624092"
Nellore ,505258,83.59,67787,"14.4425987,79.986456"
New Delhi ,249998,90.93,63573,"28.6139,77.2090"
Neyveli ,105687,90.98,18507,"11.5432364,79.4760133"
Nizamabad ,310467,80.31,34574,"18.6725047,78.0940867"
Noida ,642381,88.58,143014,"28.5355161,77.3910265"
North Barrackpur ,134825,94.78,23047,"22.7902358,88.367179"
North Dum Dum ,253625,91.98,40842,"22.6658076,88.4258483"
Ongole ,202826,83.57,32491,"15.5057232,80.049922"
Orai ,187185,83.31,29393,"26.00864,79.4478858"
Osmanabad ,112085,88.15,14303,"18.2069636,76.1783739"
Ozhukarai ,300028,90.2,50682,"11.9475611,79.7793932"
Palakkad ,131019,94.2,16827,"10.7867303,76.6547932"
Palanpur ,127125,86.44,15127,"24.174051,72.4330989"
Pali ,229956,78.67,16234,"25.7710893,73.3234478"
Pallavaram ,216308,93.26,50503,"12.9673484,80.1526888"
Palwal ,127931,81.0,15837,"28.1487362,77.3320262"
Panchkula ,210175,87.86,62655,"30.6942091,76.860565"
Panihati ,383522,92.78,58667,"22.6983108,88.3991789"
Panipat ,294150,84.29,37873,"29.3909464,76.9635023"
Panvel ,180464,93.98,39613,"18.9894007,73.1175162"
Parbhani ,307191,84.34,30035,"19.2609958,76.776665"
Patan ,125502,87.56,13430,"23.8493246,72.1266255"
Pathankot ,148357,88.6,24038,"32.2643375,75.6421121"
Patiala ,405164,86.36,86697,"30.3397809,76.3868797"
Patna ,1683200,84.71,307603,"25.5940947,85.1375645"
Pilibhit ,130428,74.26,17508,"28.6207939,79.8128649"
Pimpri Chinchwad ,1729359,90.9,249581,"18.6297811,73.7997094"
Pithampur ,126099,82.73,5150,"22.613252,75.6822899"
Porbandar ,152136,86.46,9853,"21.6417069,69.6292654"
Port Blair ,100608,89.76,12420,"11.6233774,92.7264828"
Proddatur ,162816,78.08,18151,"14.7491864,78.5531577"
Puducherry ,241773,89.29,37830,"11.9138598,79.8144722"
Pudukkottai ,117215,92.19,15104,"10.379663,78.8208454"
Pune ,3115431,91.61,656508,"18.5204303,73.8567437"
Puri ,201026,89.38,27062,"19.8133822,85.8314655"
Purnia ,280547,74.48,28193,"25.7771391,87.4752551"
