City,Population,LiteracyRate,Graduates,Location,StartupCount,PopulationScore,LiteracyScore,GraduateScore,StartupScore,OpportunityScore
Jodhpur ,1033918,81.56,140922,"26.2389469,73.0243094",0.0,3.3142521661549713,16.51012145748988,1.2689176759470489,0.0,21.0932912995919
South Dum Dum ,410524,92.82,102942,"22.6059435,88.3967536",0.0,1.3159458063972225,18.789473684210524,0.9269306665910297,0.0,21.032350157198778
Dhanbad ,1161561,80.78,104768,"23.7956531,86.4303859",0.0,3.7234152615305414,16.352226720647774,0.943372696056119,0.0,21.019014678234434
Jammu ,503690,89.66,121564,"32.7266016,74.8570259",0.0,1.6145919440135459,18.1497975708502,1.0946105530635886,0.0,20.859000067927337
Solapur ,951118,83.88,88638,"17.6599188,75.9063906",0.0,3.048834522436967,16.979757085020243,0.7981317676487312,0.0,20.82672337510594
Agartala ,399688,93.88,52711,"23.831457,91.2867777",0.0,1.2812107147628227,19.004048582995953,0.47463078594431596,0.0,20.75989008370309
Jamshedpur ,629659,87.5,110962,"22.8045665,86.2028754",0.0,2.0183889870269915,17.71255060728745,0.9991459329163397,0.0,20.73008552723078
Salem ,831038,84.8,93297,"11.664325,78.1460142",0.0,2.6639148285038994,17.16599190283401,0.840083254657412,0.0,20.66998998599532
Gorakhpur ,671048,85.97,123723,"26.7605545,83.3731675",0.0,2.151062548087915,17.402834008097166,1.1140510468287188,0.0,20.6679476030138
Udaipur ,451735,90.66,92090,"24.585445,73.712479",0.0,1.4480487836346942,18.352226720647774,0.8292149471194257,0.0,20.629490451401892
Panihati ,383522,92.78,58667,"22.6983108,88.3991789",0.0,1.229390163695851,18.781376518218625,0.5282609762477506,0.0,20.539027658162226
Tirunelveli ,474838,90.98,59397,"8.7139126,77.7566523",0.0,1.5221060761807939,18.417004048582996,0.5348341862748673,0.0,20.473944311038657
Belgaum ,488292,90.49,64200,"15.8496953,74.4976741",0.0,1.5652332377578717,18.317813765182184,0.5780823064943765,0.0,20.461129309434433
Rajpur Sonarpur ,423806,91.06,68707,"22.4490894,88.3914731",0.0,1.3585216173134365,18.4331983805668,0.6186651251138493,0.0,20.410385122994086
Bhilai Nagar ,625697,87.23,81620,"21.1938475,81.3509416",0.0,2.0056886886645433,17.657894736842106,0.7349389074154364,0.0,20.398522332922088
Rajarhat Gopalpur ,404991,90.91,73182,"22.6321975,88.4540911",0.0,1.2982096249637476,18.402834008097166,0.6589598030198047,0.0,20.360003436080717
Nagercoil ,224329,95.35,34342,"8.1832857,77.4118996",0.0,0.7190926883770071,19.30161943319838,0.30922901198800434,0.0,20.32994113356339
Durgapur ,566937,87.84,80060,"23.5204443,87.3119227",0.0,1.8173319163835049,17.781376518218625,0.7208920476314608,0.0,20.319600482233593
Akola ,427146,91.34,49715,"20.7059345,77.0219019",0.0,1.3692280778209018,18.489878542510123,0.447653611641245,0.0,20.30676023197227
Alappuzha ,174164,96.56,22263,"9.4980667,76.3388484",0.0,0.5582874215036535,19.546558704453442,0.20046489703246578,0.0,20.30531102298956
Alandur ,164162,95.15,45971,"12.9974873,80.2006371",0.0,0.5262257394690221,19.261133603238868,0.4139411481597038,0.0,20.201300490867595
Thoothukkudi ,237374,94.47,31795,"8.7641661,78.1348361",0.0,0.7609087893709849,19.12348178137652,0.2862948120714751,0.0,20.170685382818977
Ajmer ,542580,87.53,77989,"26.4498954,74.6399163",0.0,1.7392548928564588,17.71862348178138,0.7022439408285036,0.0,20.16012231546634
Kollam ,349033,92.1,39521,"8.8932118,76.6141396",0.0,1.1188347396114275,18.643724696356273,0.35586278559134354,0.0,20.118422221559044
Ahmadnagar ,350905,91.49,51661,"19.0952075,74.7495916",0.0,1.1248354863389651,18.520242914979757,0.46517616878202467,0.0,20.11025457010075
Gandhinagar ,208299,93.7,52343,"23.2156354,72.6369415",0.0,0.6677080889953693,18.96761133603239,0.4713171677388653,0.0,20.106636592766623
Shimla ,169758,94.67,43353,"31.1048145,77.1734033",0.0,0.5441638691096737,19.163967611336034,0.39036763603505775,0.0,20.098499116480767
Ulhasnagar ,506937,89.21,43561,"19.2215115,73.1644628",0.0,1.6250002905008933,18.058704453441294,0.3922405506729211,0.0,20.075945294615106
Pallavaram ,216308,93.26,50503,"12.9673484,80.1526888",0.0,0.6933811555236,18.87854251012146,0.45474907671161213,0.0,20.02667274235667
Warangal ,620116,84.16,109613,"17.9689008,79.5940544",0.0,1.987798641930362,17.036437246963562,0.9869990009621199,0.0,20.01123488985604
Sangli Miraj Kupwad ,502697,88.08,60752,"16.8541887,74.6049061",0.0,1.6114088556051887,17.82995951417004,0.5470351446128717,0.0,19.988403514388096
Imphal ,264986,91.7,63915,"24.8170111,93.9368439",0.0,0.849419803602163,18.562753036437247,0.5755160532646117,0.0,19.98768889330402
Jalgaon ,460468,88.96,55315,"21.0076578,75.5626039",0.0,1.4760426517819083,18.008097165991902,0.4980782365067981,0.0,19.98221805428061
Nanded Waghala ,550564,87.4,57736,"19.1428869,77.303723",0.0,1.7648478212072383,17.692307692307693,0.5198778823638524,0.0,19.977033395878784
Baranagar ,248466,92.46,49711,"22.6383016,88.3654386",0.0,0.7964644959424838,18.7165991902834,0.44761759405205537,0.0,19.96068128027794
Panvel ,180464,93.98,39613,"18.9894007,73.1175162",0.0,0.5784822422213277,19.02429149797571,0.35669119014270617,0.0,19.959464930339742
Khardaha ,111130,95.5,21522,"22.7002943,88.3753455",0.0,0.35623022640557755,19.331983805668017,0.19379263863507745,0.0,19.882006670708673
Anand ,197351,93.71,29803,"22.5645175,72.928871",0.0,0.6326139783259888,18.969635627530362,0.26835805265501406,0.0,19.870607658511364
S.A.S. Nagar ,146104,93.22,57323,"30.6496486,76.7567368",0.0,0.468340331132552,18.870445344129553,0.5161590662800178,0.0,19.854944741542123
Tambaram ,176807,93.72,35148,"12.9229153,80.1274558",0.0,0.5667596296237825,18.97165991902834,0.316486556209725,0.0,19.854906104861847
North Barrackpur ,134825,94.78,23047,"22.7902358,88.367179",0.0,0.43218519099371905,19.186234817813766,0.20752434451364324,0.0,19.825944353321127
Brahmapur Town ,355823,90.04,50782,"19.3149618,84.7940911",0.0,1.1406002686071433,18.22672064777328,0.45726130355759237,0.0,19.82458221993802
North Dum Dum ,253625,91.98,40842,"22.6658076,88.4258483",0.0,0.8130018102412905,18.61943319838057,0.36775759442123557,0.0,19.800192603043094
New Delhi ,249998,90.93,63573,"28.6139,77.2090",0.0,0.8013753634566866,18.40688259109312,0.5724365493888941,0.0,19.780694503938697
Chandrapur ,321036,90.81,37686,"19.9704597,79.3014845",0.0,1.029089597447503,18.382591093117412,0.33933971655057743,0.0,19.75102040711549
Dhule ,376093,89.86,38164,"20.9042201,74.7748979",0.0,1.2055763028844855,18.19028340080972,0.3436438184587443,0.0,19.739503522152948
Bhavnagar ,593768,85.62,51875,"21.7644725,72.1519304",0.0,1.903339413951111,17.331983805668017,0.46710310980367264,0.0,19.702426329422803
Ozhukarai ,300028,90.2,50682,"11.9475611,79.7793932",0.0,0.9617478841718043,18.25910931174089,0.45636086382785035,0.0,19.677218059740543
Palakkad ,131019,94.2,16827,"10.7867303,76.6547932",0.0,0.41998495485856535,19.068825910931174,0.15151699332368962,0.0,19.64032785911343
Bilaspur ,330106,88.76,67396,"22.0796251,82.1391412",0.0,1.0581637282267577,17.96761133603239,0.6068603602569315,0.0,19.63263542451608
Ujjain ,515215,85.55,72743,"23.1793013,75.7849097",0.0,1.6515356438184976,17.317813765182187,0.6550068726062372,0.0,19.62435628160692
Barasat ,283443,90.42,45516,"22.7228159,88.480552",0.0,0.9085842172507524,18.303643724696357,0.40984414738937763,0.0,19.622072089336488
Udupi ,125350,93.89,22444,"13.3408807,74.7421427",0.0,0.4018128217397566,19.006072874493928,0.20209469294329888,0.0,19.609980389176982
Bidhan Nagar ,218323,90.44,65863,"22.5867296,88.4170988",0.0,0.6998402926261578,18.307692307692307,0.5930566191999863,0.0,19.60058921951845
Darjiling ,120414,94.18,16319,"27.0360066,88.2626751",0.0,0.3859903399838137,19.064777327935225,0.14694275949660018,0.0,19.597710427415638
Asansol ,564491,84.82,65625,"23.6739452,86.9523954",0.0,1.8094911971016905,17.170040485829958,0.5909135726432003,0.0,19.570445255574846
Agra ,1574542,63.44,185813,"27.1766701,78.0080745",0.0,5.0472370480076565,12.842105263157894,1.6731340750255388,0.0,19.562476386191086
Patiala ,405164,86.36,86697,"30.3397809,76.3868797",0.0,1.298764181151709,17.48178137651822,0.7806542324944387,0.0,19.56119979016437
Gondiya ,132889,93.7,18563,"21.4624491,80.2209773",0.0,0.42597929053190675,18.96761133603239,0.16714862703201108,0.0,19.560739253596306
Wardha ,105543,94.05,19363,"20.745319,78.6021946",0.0,0.33832094650880834,19.038461538461537,0.17435214486994724,0.0,19.55113462984029
Thanjavur ,222619,91.48,33652,"10.7869994,79.1378274",0.0,0.7136112370393527,18.518218623481783,0.3030159778527844,0.0,19.53484583837392
Dum Dum ,117637,93.51,25287,"22.6470514,88.431683",0.0,0.3770885912325468,18.92914979757085,0.2276941944598645,0.0,19.53393258326326
Hinganghat ,100416,94.34,11256,"20.5505728,78.8411405",0.0,0.32188620907713916,19.097165991902834,0.10135349597976172,0.0,19.520405696959735
Siliguri ,509709,85.46,65003,"26.7271012,88.3952861",0.0,1.6338860116166698,17.299595141700404,0.5853128375242049,0.0,19.51879399084128
Avadi ,344701,88.63,51647,"13.1067448,80.0969511",0.0,1.104948396222703,17.941295546558706,0.46505010721986084,0.0,19.51129405000127
Barddhaman ,314638,89.07,52387,"23.2324214,87.8614793",0.0,1.0085806350742204,18.030364372469634,0.4717133612199518,0.0,19.510658368763806
Sagar ,273357,90.23,39717,"23.838805,78.7378068",0.0,0.8762532709398854,18.265182186234817,0.3576276474616379,0.0,19.49906310463634
Badlapur ,175516,92.38,25115,"19.1667854,73.2367896",0.0,0.5626212941402083,18.700404858299596,0.22614543812470822,0.0,19.48917159056451
Tiruppur ,444543,87.67,33358,"11.1085242,77.3410656",0.0,1.4249946327455651,17.746963562753038,0.3003686850473429,0.0,19.472326880545946
Hugli-Chinsurah ,177209,91.94,31236,"22.8858771,88.3919026",0.0,0.568048251517196,18.611336032388664,0.28126135398221724,0.0,19.460645637888078
Nagaon ,116355,93.43,15273,"26.3463713,92.6840426",0.0,0.372979105492855,18.912955465587046,0.13752415992349865,0.0,19.4234587310034
Srinagar ,1192792,70.98,135783,"34.0836708,74.7972825",0.0,3.8235270783295388,14.368421052631579,1.2226440782356065,0.0,19.414592209196723
Satara ,120079,92.91,22292,"17.6804639,74.018261",0.0,0.3849164884059691,18.807692307692307,0.20072602455409097,0.0,19.393334820652367
Kamarhati ,336579,88.22,50367,"22.6846668,88.3706491",0.0,1.0789131051323935,17.858299595141702,0.453524478679163,0.0,19.39073717895326
Shillong ,143007,92.34,25113,"25.5714,91.8848",0.0,0.45841281370991116,18.692307692307693,0.22612742933011337,0.0,19.37684793534772
Guntur ,651382,81.11,94432,"16.3066525,80.4365402",0.0,2.0880226521777914,16.41902834008097,0.8503032455899839,0.0,19.357354237848746
Gaya ,463454,85.74,56679,"24.7954523,84.999431",0.0,1.4856143556966663,17.356275303643724,0.5103602344204793,0.0,19.352249893760867
Silchar ,172709,91.74,22274,"24.8332708,92.7789054",0.0,0.5536233795760002,18.57085020242915,0.20056394540273745,0.0,19.325037527407886
Valsad ,114987,92.7,18980,"20.5992349,72.9342451",0.0,0.36859394442273147,18.765182186234817,0.1709034607050353,0.0,19.304679591362582
Jhansi ,507293,83.81,78757,"25.4484257,78.5684594",0.0,1.6261414581477966,16.965587044534413,0.7091593179529223,0.0,19.300887820635133
Junagadh ,320250,88.63,36910,"21.522184,70.4578768",0.0,1.0265700531484407,17.941295546558706,0.3323523042477794,0.0,19.300217903954927
Uttarpara Kotrung ,162386,91.16,35773,"22.6768451,88.3385053",0.0,0.5205327233428968,18.453441295546558,0.3221143045206126,0.0,19.296088323410068
Balurghat ,151183,91.85,23732,"25.2372834,88.7830612",0.0,0.48462120326351504,18.593117408906885,0.21369235666237607,0.0,19.291430968832778
Malegaon ,471006,86.66,22830,"20.5547497,74.5100291",0.0,1.5098224963410911,17.54251012145749,0.20557039030010305,0.0,19.257903008098683
Mahesana ,184133,90.99,27191,"23.5879607,72.3693252",0.0,0.5902433211440494,18.41902834008097,0.24483856691415254,0.0,19.254110228139172
Gulbarga ,532031,83.71,65039,"17.329731,76.8342957",0.0,1.7054397874991976,16.945344129554655,0.5856369958269121,0.0,19.236420912880767
Ashoknagar Kalyangarh ,123906,92.45,11992,"22.84039,88.6241351",0.0,0.3971840406101817,18.714574898785425,0.10798073239066298,0.0,19.219739671786268
Dindigul ,207225,90.55,23327,"10.3673123,77.9802906",0.0,0.6642653528920706,18.32995951417004,0.21004557575692087,0.0,19.20427044281903
Navi Mumbai Panvel Raigarh ,194999,90.72,22631,"18.9894007,73.1175162",0.0,0.6250745785913904,18.36437246963563,0.20377851523791646,0.0,19.19322556346494
Baharampur ,195363,90.29,32154,"24.0988265,88.2679264",0.0,0.6262413904550783,18.277327935222672,0.289527390701249,0.0,19.193096716379
Puducherry ,241773,89.29,37830,"11.9138598,79.8144722",0.0,0.7750099030752786,18.074898785425102,0.340636349761406,0.0,19.19054503826179
Shimoga ,322428,88.02,37463,"13.9299299,75.568101",0.0,1.0335516911679794,17.817813765182187,0.33733173595325283,0.0,19.18869719230342
Pudukkottai ,117215,92.19,15104,"10.379663,78.8208454",0.0,0.3757358587971724,18.661943319838056,0.13600241678023461,0.0,19.17368159541546
Kumbakonam ,140113,91.7,16862,"10.9616945,79.3881132",0.0,0.4491360182881732,18.562753036437247,0.15183214722909932,0.0,19.16372120195452
Chandannagar ,166949,90.62,30933,"22.8647723,88.36326",0.0,0.5351595434912694,18.344129554655872,0.2785330216010989,0.0,19.15782211974824
Nellore ,505258,83.59,67787,"14.4425987,79.986456",0.0,1.6196182105032784,16.92105263157895,0.6103810796002228,0.0,19.151051921682452
Tirupati ,287035,87.55,55454,"13.6287557,79.4191795",0.0,0.9200984705869247,17.722672064777328,0.4993298477311395,0.0,19.142100383095393
Madhyamgram ,198964,90.16,27584,"22.6925015,88.465448",0.0,0.637784493535133,18.251012145748987,0.24837729505203868,0.0,19.137173934336158
Alwar ,315310,86.78,58764,"27.5529907,76.6345735",0.0,1.0107347492841057,17.5668016194332,0.5291344027856003,0.0,19.106670771502905
Latur ,382754,86.43,42355,"18.4087934,76.5603828",0.0,1.2269283188845534,17.49595141700405,0.38138124753223235,0.0,19.104260983420836
Naihati ,221762,89.79,23181,"22.8928724,88.4220324",0.0,0.7108641003163295,18.17611336032389,0.20873093375149754,0.0,19.095708394391714
Krishnanagar ,152203,90.92,21326,"23.4008744,88.5013962",0.0,0.48789084090351953,18.40485829959514,0.19202777676478308,0.0,19.084776917263444
Yavatmal ,116714,91.81,13511,"20.3887937,78.1204073",0.0,0.37412988972105266,18.58502024291498,0.12165841188544425,0.0,19.080808544521478
Ambarnath ,254003,89.04,26596,"19.1825167,73.1926023",0.0,0.8142134994843508,18.02429149797571,0.23948095052218754,0.0,19.07798594798225
Serampore ,183339,89.99,30060,"22.748331,88.3385053",0.0,0.5876981326282028,18.2165991902834,0.2706721827604511,0.0,19.07496950567205
Bhusawal ,187750,90.37,19815,"21.0455204,75.8010962",0.0,0.6018377126576728,18.29352226720648,0.17842213244838118,0.0,19.073782112312536
Bokaro Steel City ,413934,84.94,61034,"23.6692956,86.151112",0.0,1.3268766538015508,17.194331983805668,0.5495743846507442,0.0,19.070783022257963
Achalpur ,112293,91.99,8863,"21.257584,77.5086754",0.0,0.35995825442060214,18.62145748987854,0.07980597324703519,0.0,19.061221717546175
Sonipat ,277053,87.56,46858,"28.9287735,77.091281",0.0,0.8881008990942543,17.724696356275306,0.4219280485625155,0.0,19.034725303932078
Raurkela Town ,273217,87.95,38314,"22.260423,84.8535844",0.0,0.8758044971461593,17.803643724696357,0.34499447805335737,0.0,19.024442699895875
Panchkula ,210175,87.86,62655,"30.6942091,76.860565",0.0,0.673721657831299,17.785425101214575,0.5641705126698624,0.0,19.023317271715733
Medinipur ,169127,90.01,28498,"22.4308892,87.3214908",0.0,0.5421411815108081,18.220647773279353,0.25660731418188076,0.0,19.01939626897204
Roorkee ,118188,90.7,30594,"29.8542626,77.8880002",0.0,0.3788548366635688,18.360323886639677,0.2754805309172734,0.0,19.01465925422052
Durg ,268679,87.94,38428,"21.1904494,81.2849169",0.0,0.8612578151752377,17.801619433198383,0.3460209793452632,0.0,19.00889822771888
Bhiwandi ,711329,81.53,24688,"19.2812547,73.0482912",0.0,2.2801843851242065,16.504048582995953,0.2223005604787098,0.0,19.00653352859887
Habra ,149675,90.85,13824,"22.8488542,88.6639591",0.0,0.47978726839966546,18.39068825910931,0.12447678823953678,0.0,18.994952315748513
Chhindwara ,138266,90.37,28233,"22.057437,78.9381729",0.0,0.4432154097380868,18.29352226720648,0.25422114889806435,0.0,18.990958825842633
Puri ,201026,89.38,27062,"19.8133822,85.8314655",0.0,0.6443942904112988,18.09311740890688,0.24367699966278533,0.0,18.981188698980965
Delhi Cantonment ,116352,91.11,17317,"28.5961279,77.1587375",0.0,0.3729694889115609,18.44331983805668,0.15592914799942553,0.0,18.97221847496767
Jalpaiguri ,107351,91.11,20252,"26.5434772,88.7205256",0.0,0.3441165395020711,18.44331983805668,0.1823570540673538,0.0,18.969793431626105
Ratlam ,264810,87.88,36589,"23.3341696,75.0376325",0.0,0.8488556308329074,17.789473684210527,0.3294618927153075,0.0,18.967791207758744
Davanagere ,435128,84.89,40740,"14.4663438,75.9238397",0.0,1.3948145951174853,17.18421052631579,0.3668391458968988,0.0,18.945864267330176
Hassan ,133723,90.51,21042,"13.0068142,76.0995519",0.0,0.42865270013167506,18.32186234817814,0.18947052793231572,0.0,18.93998557624213
Seoni ,102377,91.16,16335,"22.0868691,79.5434841",0.0,0.3281722477164025,18.453441295546558,0.14708682985335889,0.0,18.928700373116317
